Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
77116444,"Given I've followed a user and I'm viewing one of their rants on the homepage When I click ""Unfollow"" Then the user no longer shows up on the ""Following"" page","",2,"Aug 25, 2014","Aug 31, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116444,
77116446,"Given I'm on the ""Following"" page When I click ""Unfollow"" Then I no longer follow that user","",2,"Aug 25, 2014","Aug 31, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116446,
77116448,Given there is a rant by another user When I click on the body of the rant Then I'm taken to view the rant,"",3,"Sep 1, 2014","Sep 7, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116448,
77116450,Given I'm on the homepage and I'm viewing a rant When I click on a user's name Then I see their profile,"",3,"Sep 1, 2014","Sep 7, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,"To start, I just see their bio
",https://www.pivotaltracker.com/story/show/77116450,
77116452,Given I'm viewing a specific rant When I click on the user's name Then I see their profile,"",3,"Sep 1, 2014","Sep 7, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116452,
77116454,When I click to view a user's profile Then I can see all of their rants,"",3,"Sep 1, 2014","Sep 7, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116454,
77116456,"Given I'm on a user's profile page When I click ""follow"" Then that user shows up on the ""Following"" page","",3,"Sep 1, 2014","Sep 7, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116456,
77116458,"Given I've followed a user and I'm viewing their profile When I click ""Unfollow"" Then the user no longer shows up on the ""Following"" page","",3,"Sep 1, 2014","Sep 7, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116458,
77116460,When I've filled our an incomplete registration form Then I am shown a form with errors,"",4,"Sep 8, 2014","Sep 14, 2014",feature,3,unstarted,"Jul 27, 2014",,,Hunter Gillane,"All fields are required.

Username must be unique
Password must be 8 characters",https://www.pivotaltracker.com/story/show/77116460,
77116462,When I fill out the rant form incorrectly Then I see errors,"",4,"Sep 8, 2014","Sep 14, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,"Both title and body required.

Title must be less than 50 characters
Body must be greater than 140 characters",https://www.pivotaltracker.com/story/show/77116462,
77116464,When I fill in the Login form incorrectly Then I see a general message telling me it failed,"",4,"Sep 8, 2014","Sep 14, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,"Username is required
Password is required

If username and password don't match, then I see a message saying ""Login failed""",https://www.pivotaltracker.com/story/show/77116464,
77116466,"As an anonymous user, Given that I've never registered and seen the homepage before when I revisit the homepage then I see a ""Welcome back"" message","",4,"Sep 8, 2014","Sep 14, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116466,
77116468,"Given I'm viewing a specific rant When I click ""Favorite"" Then that rant becomes favorited","",4,"Sep 8, 2014","Sep 14, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116468,
77116470,When I view a user's profile Then their rants are ordered by most favorites,"",4,"Sep 8, 2014","Sep 14, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116470,
77116472,When I search by last name Then I see all rants by users with that exact last name,"",5,"Sep 15, 2014","Sep 21, 2014",feature,3,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116472,
77116474,Exercise Goal,"",5,"Sep 15, 2014","Sep 21, 2014",release,,unstarted,"Jun 30, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116474,
77116476,"Given I'm viewing my homepage When I click favorite on a rant Then I can see that rant on my ""Favorites"" page","",5,"Sep 15, 2014","Sep 21, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116476,
77116478,"Given I've favorited a rant When I click ""Unfavorite"" Then it unfavorites that rant","",5,"Sep 15, 2014","Sep 21, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,Make sure you check the mockups for all the places this can show up!,https://www.pivotaltracker.com/story/show/77116478,
77116480,Given I'm viewing a rant When I click favorite Then it favorites that rant,"",5,"Sep 15, 2014","Sep 21, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116480,
77116482,"When I'm mentioned in a rant Then I see a ""Mentioned"" section with that rant on my homepage","",5,"Sep 15, 2014","Sep 21, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,You mention someone by using the syntax `@username`,https://www.pivotaltracker.com/story/show/77116482,
77116484,When I search by first name Then I see all rants by that first name,"",6,"Sep 22, 2014","Sep 28, 2014",feature,3,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116484,
77116486,When I search by username Then I see all rants by that username,"",6,"Sep 22, 2014","Sep 28, 2014",feature,1,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116486,
77116488,Extended Goal,"",6,"Sep 22, 2014","Sep 28, 2014",release,,unstarted,"Jun 30, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116488,
77116490,Given I'm on the registration page When I upload an image to the form Then I see my image wherever my name shows up,"",6,"Sep 22, 2014","Sep 28, 2014",feature,3,unstarted,"Jul 27, 2014",,,Hunter Gillane,This is a required field!,https://www.pivotaltracker.com/story/show/77116490,
77116492,Given I'm on the edit profile page When I add a profile image and save Then I see that image anywhere my name shows up,"",6,"Sep 22, 2014","Sep 28, 2014",feature,2,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116492,
77116494,When I search by a certain piece of text Then I see all rants that have a title that contains that text,"",7,"Sep 29, 2014","Oct 5, 2014",feature,3,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116494,
77116496,When I search by a bit of text Then I see all rants whose body's contain that bit of text,"",7,"Sep 29, 2014","Oct 5, 2014",feature,3,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116496,
77116498,When I'm filling out a rant and I use Markdown Then I see that markdown rendered for my rant,"",7,"Sep 29, 2014","Oct 5, 2014",feature,3,unstarted,"Jul 27, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116498,
77116500,Life Goal,"",7,"Sep 29, 2014","Oct 5, 2014",release,,unstarted,"Jul 8, 2014",,,Hunter Gillane,,https://www.pivotaltracker.com/story/show/77116500,
